Datum von;Datum bis;Energiemenge in kWh;Ersatzwert;Restnetzueberschuss in kWh (Energiegemeinschaft);Status (Energiegemeinschaft)
17.03.2026 00:00;17.03.2026 00:15;0,000;;0,000;M
17.03.2026 00:15;17.03.2026 00:30;0,000;;0,000;M
17.03.2026 00:30;17.03.2026 00:45;0,000;;0,000;M
17.03.2026 00:45;17.03.2026 01:00;0,000;;0,000;M
17.03.2026 01:00;17.03.2026 01:15;0,000;;0,000;M
17.03.2026 01:15;17.03.2026 01:30;0,000;;0,000;M
17.03.2026 01:30;17.03.2026 01:45;0,000;;0,000;M
17.03.2026 01:45;17.03.2026 02:00;0,000;;0,000;M
17.03.2026 02:00;17.03.2026 02:15;0,000;;0,000;M
17.03.2026 02:15;17.03.2026 02:30;0,000;;0,000;M
17.03.2026 02:30;17.03.2026 02:45;0,000;;0,000;M
17.03.2026 02:45;17.03.2026 03:00;0,000;;0,000;M
17.03.2026 03:00;17.03.2026 03:15;0,000;;0,000;M
17.03.2026 03:15;17.03.2026 03:30;0,000;;0,000;M
17.03.2026 03:30;17.03.2026 03:45;0,000;;0,000;M
17.03.2026 03:45;17.03.2026 04:00;0,000;;0,000;M
17.03.2026 04:00;17.03.2026 04:15;0,000;;0,000;M
17.03.2026 04:15;17.03.2026 04:30;0,000;;0,000;M
17.03.2026 04:30;17.03.2026 04:45;0,000;;0,000;M
17.03.2026 04:45;17.03.2026 05:00;0,000;;0,000;M
17.03.2026 05:00;17.03.2026 05:15;0,000;;0,000;M
17.03.2026 05:15;17.03.2026 05:30;0,000;;0,000;M
17.03.2026 05:30;17.03.2026 05:45;0,000;;0,000;M
17.03.2026 05:45;17.03.2026 06:00;0,000;;0,000;M
17.03.2026 06:00;17.03.2026 06:15;0,000;;0,000;M
17.03.2026 06:15;17.03.2026 06:30;0,000;;0,000;M
17.03.2026 06:30;17.03.2026 06:45;0,000;;0,000;M
17.03.2026 06:45;17.03.2026 07:00;0,000;;0,000;M
17.03.2026 07:00;17.03.2026 07:15;0,000;;0,000;M
17.03.2026 07:15;17.03.2026 07:30;0,003;;0,000;M
17.03.2026 07:30;17.03.2026 07:45;0,016;;0,003;M
17.03.2026 07:45;17.03.2026 08:00;0,009;;0,003;M
17.03.2026 08:00;17.03.2026 08:15;0,009;;0,007;M
17.03.2026 08:15;17.03.2026 08:30;0,005;;0,004;M
17.03.2026 08:30;17.03.2026 08:45;0,006;;0,005;M
17.03.2026 08:45;17.03.2026 09:00;0,009;;0,006;M
17.03.2026 09:00;17.03.2026 09:15;0,006;;0,004;M
17.03.2026 09:15;17.03.2026 09:30;0,005;;0,004;M
