Datum von;Datum bis;Energiemenge in kWh;Ersatzwert;Restnetzbezug in kWh (Energiegemeinschaft);Status (Energiegemeinschaft)
18.03.2026 00:00;18.03.2026 00:15;0,386;;;F
18.03.2026 00:15;18.03.2026 00:30;0,386;;;F
18.03.2026 00:30;18.03.2026 00:45;0,396;;;F
18.03.2026 00:45;18.03.2026 01:00;0,358;;;F
18.03.2026 01:00;18.03.2026 01:15;0,329;;;F
18.03.2026 01:15;18.03.2026 01:30;0,314;;;F
18.03.2026 01:30;18.03.2026 01:45;0,296;;;F
18.03.2026 01:45;18.03.2026 02:00;0,292;;;F
18.03.2026 02:00;18.03.2026 02:15;0,263;;;F
18.03.2026 02:15;18.03.2026 02:30;0,269;;;F
18.03.2026 02:30;18.03.2026 02:45;0,270;;;F
18.03.2026 02:45;18.03.2026 03:00;0,264;;;F
18.03.2026 03:00;18.03.2026 03:15;0,272;;;F
18.03.2026 03:15;18.03.2026 03:30;0,286;;;F
18.03.2026 03:30;18.03.2026 03:45;0,279;;;F
18.03.2026 03:45;18.03.2026 04:00;0,252;;;F
18.03.2026 04:00;18.03.2026 04:15;0,265;;;F
18.03.2026 04:15;18.03.2026 04:30;0,269;;;F
18.03.2026 04:30;18.03.2026 04:45;0,248;;;F
18.03.2026 04:45;18.03.2026 05:00;0,146;;;F
18.03.2026 05:00;18.03.2026 05:15;0,098;;;F
18.03.2026 05:15;18.03.2026 05:30;0,105;;;F
18.03.2026 05:30;18.03.2026 05:45;0,117;;;F
18.03.2026 05:45;18.03.2026 06:00;0,117;;;F
18.03.2026 06:00;18.03.2026 06:15;0,157;;;F
18.03.2026 06:15;18.03.2026 06:30;0,284;;;F
18.03.2026 06:30;18.03.2026 06:45;0,190;;;F
18.03.2026 06:45;18.03.2026 07:00;0,125;;;F
18.03.2026 07:00;18.03.2026 07:15;0,108;;;F
18.03.2026 07:15;18.03.2026 07:30;0,068;;;F
18.03.2026 07:30;18.03.2026 07:45;0,016;;;F
